school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures_mat,failures_por,schoolsup,famsup,paid_mat,paid_por,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_mat,absences_por,G1_mat,G2_mat,G3_mat,G1_por,G2_por,G3_por
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,no,yes,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,2,0,14,14,14,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,2,0,10,10,11,12,12,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,no,yes,no,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,0,14,16,16,14,14,15
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,no,yes,no,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,6,14,14,14,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,no,yes,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,6,10,13,14,14,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,0,yes,yes,no,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,2,8,10,10,13,14,14
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,3,no,yes,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,16,2,6,5,5,8,8,7
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,no,no,yes,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4,6,8,10,10,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,no,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,0,13,14,15,12,13,14
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,no,yes,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,0,12,15,15,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,no,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,0,15,15,16,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,2,13,13,12,10,10,10
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,2,10,9,8,10,11,10
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,no,yes,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,14,6,6,9,8,10,11,12
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,2,8,12,12,11,11,12,12
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,no,no,yes,no,no,yes,yes,yes,no,2,2,4,2,4,1,4,0,15,16,15,11,11,11
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,0,yes,yes,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,4,2,11,11,11,12,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,no,yes,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,4,10,12,11,12,11,12
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,no,yes,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,0,9,11,12,10,11,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,no,yes,no,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,2,17,16,17,15,15,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,no,yes,no,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,0,17,16,16,13,14,15
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,no,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,0,8,10,12,13,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,no,yes,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,0,4,12,14,15,12,12,12
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,no,yes,no,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,4,8,7,6,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,0,15,16,18,14,14,14
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,no,yes,no,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,4,15,16,15,13,13,13
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,2,12,12,11,11,12,12
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,0,yes,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,8,14,13,13,14,13,12
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,0,no,yes,no,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,16,7,10,11,11,11,10
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,no,yes,no,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,8,12,12,12,10,11,11
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,no,yes,no,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,0,19,18,18,14,15,15
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,0,yes,yes,no,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,0,8,8,11,9,10,10
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,yes,no,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,14,10,10,9,10,11,11
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,4,8,8,6,10,11,11
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,no,yes,no,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,6,11,12,11,13,12,13
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,no,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,2,19,19,20,17,17,17
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,2,4,15,15,14,11,12,13
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,0,yes,yes,no,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,2,7,7,7,13,12,12
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,2,0,12,13,13,14,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,2,0,11,13,13,16,14,16
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,0,no,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,4,11,11,10,10,9,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,0,yes,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,0,8,10,11,13,12,12
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,no,no,yes,no,no,yes,yes,yes,no,5,3,4,4,4,1,6,0,10,13,13,13,12,13
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,no,no,yes,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,2,8,9,10,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,0,14,15,15,15,14,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,no,yes,no,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,8,14,15,15,15,15,16
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,0,yes,yes,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,0,9,10,9,14,13,14
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,no,yes,no,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,2,15,16,16,16,15,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,no,yes,no,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,0,10,11,11,17,16,16
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,0,yes,yes,no,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,0,10,8,11,10,10,16
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,0,yes,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,0,8,10,9,13,13,10
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,2,0,10,9,9,14,13,13
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,0,yes,no,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,0,10,10,10,13,12,12
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,2,16,15,15,16,15,16
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,no,yes,no,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,0,13,13,12,11,12,12
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,0,yes,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,4,0,7,7,6,10,9,10
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,0,yes,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,2,0,8,9,8,11,10,11
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,no,yes,no,no,no,no,yes,yes,no,4,4,2,2,3,3,12,6,16,16,16,15,15,15
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,2,13,15,15,13,11,11
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,no,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,0,10,10,10,11,9,10
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,0,yes,yes,no,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,2,8,6,5,13,11,11
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,no,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,0,12,12,14,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,54,4,11,12,11,11,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,6,0,9,9,10,11,11,11
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,no,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,0,11,11,10,12,11,11
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,no,no,yes,no,no,yes,yes,yes,yes,5,2,3,1,3,3,0,1,11,11,11,13,13,13
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,3,yes,yes,no,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,0,8,8,10,9,9,10
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,no,yes,no,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,14,5,5,5,12,11,11
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,0,yes,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,2,0,10,12,12,11,11,12
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,0,yes,no,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,4,2,11,10,11,10,9,9
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,10,4,7,6,6,12,11,11
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,no,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,2,15,15,15,13,12,13
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,no,yes,no,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,2,9,10,10,13,12,12
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,no,no,yes,no,no,yes,yes,yes,yes,4,4,4,2,3,5,6,4,7,9,8,12,11,12
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,no,yes,no,no,no,yes,yes,no,no,4,3,4,1,2,2,4,6,8,7,6,13,11,11
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,4,13,14,14,15,15,15
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,0,no,no,yes,no,yes,no,yes,yes,no,4,4,2,1,1,3,12,6,11,10,10,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,no,yes,no,no,no,yes,yes,no,no,4,1,3,3,5,5,18,6,8,6,7,9,9,10
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,no,yes,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,0,2,7,7,8,9,11,11
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,no,no,yes,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4,6,16,17,18,14,13,13
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,0,yes,yes,no,no,no,yes,yes,no,no,3,3,3,2,3,2,4,0,7,6,6,12,13,12
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0,2,11,10,10,13,14,14
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,no,yes,no,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,2,11,13,14,11,12,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,0,yes,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,4,7,10,10,13,13,13
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,0,yes,yes,no,yes,yes,no,yes,yes,no,3,3,3,1,1,4,2,6,11,15,15,9,11,11
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,no,yes,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,2,0,8,9,10,13,12,12
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,no,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,4,11,14,14,12,13,13
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,0,yes,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,0,2,7,9,8,12,13,13
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,14,12,7,7,5,9,9,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,no,yes,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,0,16,17,17,16,16,16
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,no,yes,no,yes,yes,no,yes,yes,no,5,3,3,1,1,5,4,2,10,13,14,12,13,12
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,0,yes,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,26,16,7,6,6,11,10,10
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,no,yes,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,0,16,18,18,16,16,16
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,0,yes,no,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,11,11,10,10,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,0,yes,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,8,4,7,8,8,10,10,10
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,4,16,18,18,13,14,14
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,no,yes,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,8,10,13,13,12,10,11
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,no,yes,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,2,14,15,16,15,15,14
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,no,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,4,18,19,19,13,14,14
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,0,yes,yes,no,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,4,7,10,10,11,11,11
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,yes,no,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,12,10,13,13,8,10,10
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,no,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,10,18,19,19,18,17,18
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,no,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,4,9,9,9,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,no,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,6,15,15,16,16,14,14
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,no,yes,no,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,4,11,13,14,16,15,16
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,no,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,6,13,14,13,14,14,15
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,1,no,yes,no,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,14,9,7,8,12,11,11
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,no,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,2,14,13,13,14,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,no,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,0,16,15,15,14,14,14
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,no,yes,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,6,16,14,15,14,13,13
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,no,yes,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,2,13,13,13,14,12,13
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,no,yes,no,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,4,14,11,13,12,13,13
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,no,no,yes,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,0,8,7,8,12,11,11
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,0,yes,no,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,2,13,13,12,9,9,9
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,0,yes,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,0,7,10,11,10,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,2,no,yes,no,no,no,no,no,no,no,3,4,2,1,1,5,2,0,7,8,9,9,10,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,no,no,yes,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,8,18,18,18,14,14,15
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,0,no,yes,no,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,0,12,0,0,10,11,12
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,0,no,yes,no,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,6,8,0,0,11,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,0,no,yes,no,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,2,10,13,12,13,12,12
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,0,no,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,12,11,11,15,13,14
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,0,no,yes,no,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,2,9,0,0,12,11,11
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,0,no,yes,no,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,4,11,0,0,13,14,15
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,0,no,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,2,10,0,0,10,9,10
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,2,0,no,yes,no,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,4,0,0,9,9,10
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,2,no,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,0,14,12,12,10,10,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,0,no,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,6,16,16,15,13,14,14
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,0,yes,yes,no,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,6,7,9,0,9,11,11
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,0,no,yes,no,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,4,9,9,9,12,11,11
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,0,no,yes,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,2,2,9,11,11,13,13,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,0,no,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,4,14,14,13,10,11,11
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,0,no,yes,no,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,22,5,0,0,9,7,6
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,0,no,yes,yes,no,no,yes,yes,yes,no,4,4,2,1,2,5,0,0,8,11,11,12,12,12
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,1,no,yes,no,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,2,6,7,0,11,11,11
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,0,no,yes,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,2,6,10,11,11,13,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,no,yes,no,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,16,7,6,0,9,9,8
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,0,no,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,0,8,9,10,12,11,11
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,3,2,no,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,0,6,5,0,11,9,0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,1,no,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,6,12,13,14,9,10,10
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,0,no,yes,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,2,10,10,10,13,13,13
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,3,0,no,yes,no,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,6,5,0,0,11,9,11
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,0,yes,yes,no,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,0,11,11,12,13,13,13
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,0,yes,no,yes,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,0,11,8,8,7,8,8
